host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3802101,Katya,Copacabana,Private room,180,2,0,8,194
87166722,Natasha,Copacabana,Private room,75,5,2,1,224
34436210,Philip,Ipanema,Private room,999,3,0,20,356
9884465,Chez Michel  Bed And Breakfast,Copacabana,Private room,131,1,1,4,132
20890926,Gilberto,Ipanema,Private room,601,1,0,1,89
13503125,Maria Angélica,Copacabana,Private room,199,1,13,2,335
82175410,Marcelo,Ipanema,Entire home/apt,999,3,0,1,71
13664216,Maria Lucia,Copacabana,Entire home/apt,135,5,0,15,122
55420386,Bel,Copacabana,Entire home/apt,240,3,0,1,68
17417810,Cassandra,Copacabana,Entire home/apt,259,3,0,1,364
13132109,Nathaly,Copacabana,Entire home/apt,252,1,0,1,276
4307081,Nereu A,Ipanema,Entire home/apt,507,1,0,55,363
159448100,Antonio,Ipanema,Entire home/apt,300,4,2,1,120
55451495,Claudia Eugenia,Copacabana,Entire home/apt,252,2,3,1,254
161715117,Ignacio,Copacabana,Entire home/apt,229,3,1,1,267
40738885,Eduardo,Copacabana,Shared room,120,1,27,9,364
11975025,Angela,Copacabana,Entire home/apt,398,2,2,1,137
45774477,Fabio,Copacabana,Entire home/apt,109,5,3,1,148
169526326,Tábbata,Copacabana,Entire home/apt,518,4,1,1,90
4255118,Ricardo,Copacabana,Entire home/apt,2622,5,0,42,363
13647948,Lelia,Copacabana,Entire home/apt,800,1,0,1,365
20370177,Sylvie,Copacabana,Entire home/apt,300,4,2,17,279
3201870,Cirlea,Glória,Private room,199,3,0,3,90
196583964,Lilian,Catete,Private room,49,14,0,1,90
102009481,Wilma Celeste,Catete,Private room,49,2,29,2,61
76811520,Isaac,Botafogo,Entire home/apt,751,5,0,2,365
67514449,Monica,Catete,Private room,169,5,0,1,363
5155775,Veronica,Glória,Private room,101,1,3,2,365
16103314,Arthur,Botafogo,Private room,3748,1,0,1,365
4332144,Luiz Guilherme,Botafogo,Entire home/apt,548,7,1,1,365
2107688,Ana,Humaitá,Entire home/apt,481,5,0,1,365
27677548,Cristiana,Humaitá,Entire home/apt,252,2,0,3,177
12752373,Marcela,Leblon,Entire home/apt,391,1,1,1,90
530231,Yaya,Leblon,Private room,233,1,0,6,365
37243430,Erika,Gávea,Private room,101,1,0,2,363
150465927,Ludmilla,Gávea,Entire home/apt,2441,4,0,7,365
90129687,Renata,Humaitá,Entire home/apt,699,4,0,1,87
4453679,Daniela,Santa Teresa,Entire home/apt,60,5,3,1,228
32164682,Patricia,Botafogo,Entire home/apt,244,2,0,1,194
48422460,Fabio,Lagoa,Entire home/apt,391,3,3,1,272
3329979,Coy,Copacabana,Entire home/apt,819,1,2,8,356
94699571,Renata,Ipanema,Entire home/apt,267,3,4,1,41
12412278,Fernando,Botafogo,Shared room,398,4,0,2,89
16876753,Mariana,Humaitá,Private room,75,2,2,1,364
158319993,Julius,Humaitá,Private room,481,2,0,1,55
