host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
36077314,Jacarepagu,Entire home/apt,214,1,5,1,326
32041008,Ipanema,Private room,229,2,0,2,330
13180189,Santa Teresa,Private room,60,3,10,3,291
12993191,Laranjeiras,Entire home/apt,488,2,9,1,194
66877715,Copacabana,Entire home/apt,3500,10,0,43,365
8930850,Leme,Entire home/apt,150,3,0,1,168
46019273,Ipanema,Entire home/apt,2501,3,0,2,89
48560346,Leblon,Entire home/apt,999,3,0,1,363
101434759,Copacabana,Entire home/apt,349,2,1,1,90
34648471,Jacarepagu,Entire home/apt,500,5,0,1,364
37567754,Jacarepagu,Entire home/apt,751,1,0,1,365
11671430,Jacarepagu,Entire home/apt,131,5,7,12,160
84784052,Barra da Tijuca,Entire home/apt,999,10,0,1,365
188381496,Jacarepagu,Entire home/apt,252,2,5,2,2
54832766,Botafogo,Entire home/apt,376,3,3,1,83
14335732,Flamengo,Entire home/apt,1998,20,0,1,365
82464276,Jacarepagu,Private room,699,1,0,9,365
15025215,Flamengo,Entire home/apt,1878,3,0,5,364
5352473,Flamengo,Entire home/apt,500,1,0,1,364
211605847,Flamengo,Entire home/apt,109,7,0,1,16
46238063,Flamengo,Entire home/apt,162,3,2,1,253
70234514,Jacarepagu,Private room,252,2,0,1,364
91654021,Flamengo,Entire home/apt,304,4,0,213,365
21965585,Botafogo,Entire home/apt,154,2,27,1,120
44445813,Jacarepagu,Private room,173,2,21,2,365
14876271,Catete,Private room,109,3,9,1,362
114855824,Flamengo,Private room,101,1,2,1,337
7708283,Jacarepagu,Entire home/apt,203,365,1,2,358
12439673,Botafogo,Entire home/apt,199,1,2,1,362
4947523,Flamengo,Entire home/apt,199,10,7,2,348
76099479,Flamengo,Entire home/apt,751,5,0,1,89
112766245,Botafogo,Entire home/apt,300,3,7,1,107
88195357,Botafogo,Private room,116,2,0,1,363
706545,Catete,Shared room,751,2,0,1,365
2343473,Flamengo,Private room,901,2,0,4,365
4664899,Glria,Entire home/apt,297,5,1,1,365
23652838,Santa Teresa,Entire home/apt,300,3,1,3,365
13338697,Catete,Entire home/apt,1998,15,0,1,365
11555320,Flamengo,Private room,342,1,0,5,89
4362431,Glria,Entire home/apt,101,2,89,4,298
15485906,Flamengo,Private room,101,1,0,1,89
10080658,Flamengo,Private room,199,7,0,2,83
128696928,Glria,Entire home/apt,199,2,0,1,180
40636791,Catete,Entire home/apt,999,1,0,1,90
30504664,Copacabana,Entire home/apt,398,3,0,2,11
82067673,Gvea,Entire home/apt,7512,1,0,1,358
167973189,Botafogo,Entire home/apt,300,2,3,1,10
1712679,Leblon,Entire home/apt,282,4,55,2,359
84533996,Catete,Private room,188,2,0,1,365
530231,Leblon,Entire home/apt,398,2,9,6,354
120776963,Botafogo,Private room,79,1,37,2,159
15636834,Centro,Private room,379,1,0,1,365
70552262,Santa Teresa,Private room,342,1,0,1,362
3399556,Glria,Private room,207,3,2,2,362
16261402,Copacabana,Entire home/apt,229,2,2,1,363
4886880,Ipanema,Entire home/apt,1998,4,0,1,358
3802101,Copacabana,Private room,180,2,0,8,194
87166722,Copacabana,Private room,75,5,2,1,224
34436210,Ipanema,Private room,999,3,0,20,356
9884465,Copacabana,Private room,131,1,1,4,132
20890926,Ipanema,Private room,601,1,0,1,89
13503125,Copacabana,Private room,199,1,13,2,335
82175410,Ipanema,Entire home/apt,999,3,0,1,71
13664216,Copacabana,Entire home/apt,135,5,0,15,122
55420386,Copacabana,Entire home/apt,240,3,0,1,68
17417810,Copacabana,Entire home/apt,259,3,0,1,364
13132109,Copacabana,Entire home/apt,252,1,0,1,276
4307081,Ipanema,Entire home/apt,507,1,0,55,363
159448100,Ipanema,Entire home/apt,300,4,2,1,120
55451495,Copacabana,Entire home/apt,252,2,3,1,254
161715117,Copacabana,Entire home/apt,229,3,1,1,267
40738885,Copacabana,Shared room,120,1,27,9,364
11975025,Copacabana,Entire home/apt,398,2,2,1,137
45774477,Copacabana,Entire home/apt,109,5,3,1,148
169526326,Copacabana,Entire home/apt,518,4,1,1,90
4255118,Copacabana,Entire home/apt,2622,5,0,42,363
13647948,Copacabana,Entire home/apt,800,1,0,1,365
20370177,Copacabana,Entire home/apt,300,4,2,17,279
3201870,Glria,Private room,199,3,0,3,90
